"M11_R1"	"M11_R2"	"M12_1"	"M12_2"	"M12_3"	"M5"	"M6"	"Expression.Rep1"	"Expression.Rep2"	"Expression.Rep3"	"log2.Ratio.Treg.Tc.Rep1"	"log2.Ratio.Treg.Tc.Rep2"	"log2.Ratio.Treg.Tc.Rep3"	"log2.Ratio.Treg.Tc.Rep4"	"Gene.names"
NA	NA	NA	NA	NA	NA	NA	2.61987969389675	2.76873661775315	2.30702288060766	2.984616618	3.652142272	NA	3.45430752	"Il2rb"
4.9751977675195	4.4080485221476	3.6222151090592	2.9993393452632	4.1482141858657	2.9330871639543	3.233268056626	1.95964342153412	1.55034153584963	1.55407984899151	2.366540889	2.83507518	2.852979915	2.592349392	"Ergic1"
4.3144997282616	4.5645559629402	0.353310320455499	-1.9422185189569	5.7817891869672	6.2817559445525	7.611250317412	1.79106395356331	1.38952326221268	0.318824592967116	NA	NA	NA	NA	"S100a4"
1.9683080868487	4.0555317625452	5.039191430098	4.0471532455588	4.5597203822902	3.9728128560433	3.9015410330476	2.01732575210845	1.87983158539813	2.17407781449287	2.191524333	2.909408305	3.64989205	2.70745853	"Nt5e"
1.3952193466973	2.4882811957038	1.4318447769467	5.1300247358012	4.388241578168	4.8460196502001	4.7526730397209	2.88398639728742	2.60935638448705	2.28959113999753	NA	NA	NA	NA	"Tnfrsf4"
5.0021240359449	4.8015628848954	5.3003109293475	1.9632097300103	0.0874799084714013	2.3921435940411	1.9343972732654	3.09088068966917	2.51441276500032	2.12478753382958	4.409998799	3.99494171	4.501638828	3.784503983	"Nrp1"
0.0198512421087997	-0.0656422880291991	1.6661530665815	8.3153741812329	1.9389260786202	8.9656848435485	6.6006079521793	2.16848591688166	1.63679672962116	1.81133339444149	NA	NA	NA	NA	"Irf4"
3.5657481784972	4.9670590763426	4.19541519088	1.0292289550871	2.3340878112774	5.7279550467921	2.8144858578491	2.55275475620645	2.76363754881196	1.84350123491253	5.243045048	4.580869063	2.814412508	3.803537038	"Gsta4"
4.4458024585364	6.1997159097168	4.5332947799451	5.1924193930084	5.2255098926158	4.5742452883539	3.6237656668891	1.09707681261593	1.49079603724032	1.55123202104471	1.962182048	2.414703837	3.67971636	3.856288567	"Eno3"
3.6968798577887	3.5724209084016	6.4564592787536	6.6922245763995	4.6615626711555	3.9636639833614	3.5154109477485	1.66689928483445	1.5423253926472	1.97020546035428	NA	3.68009927	NA	3.347523931	"Coro2a"
5.1834772756986	4.7917914011746	7.7712422435865	4.664359908776	5.4383379035429	4.1690719607779	2.5720951409941	1.03942328715486	1.11490393221783	1.00916326238134	4.50304482	3.292236955	3.777561413	4.319112093	"Lad1"
5.0537914354652	5.1724533160851	7.2170401508595	6.3956011206181	5.3351335879696	5.3751929124937	3.7938976856976	2.95268616953235	1.81343521825244	1.58805171442446	2.901526541	-0.446560851	NA	NA	"Ikzf2"
5.5431836556104	5.6449474417578	5.3254023873236	6.1031656278801	5.0986851892958	5.9784965038071	4.1356291640209	1.99436588579606	1.96381517205076	1.14338958755825	3.296332259	2.528271247	3.294490912	3.5360529	"Gsto1"
3.3181013923115	4.6113023655673	4.1863772513687	2.8127826750395	5.6738528647519	0.7316914490033	4.6581310727727	5.72316750784873	5.00707320133169	5.09816899035826	NA	3.605968359	NA	NA	"Il2ra"
5.0244129600991	7.1018598878742	9.4313288128284	6.0593202379637	4.6043053650729	4.8920371911169	7.077834860292	2.7985268330733	2.54892571519919	2.29402407194562	2.949421686	2.932533675	3.401833012	3.846292719	"Fam129a"
4.9432198294473	5.3390093252522	8.1108030372752	7.490110437975	4.3420032837729	6.0997402558037	6.2829704196984	4.80090987641779	4.20430153226064	4.07967942052615	NA	3.101397952	NA	3.484138131	"Foxp3"
