"Expression Rep1"	"Expression Rep2"	"Expression Rep3"	"PresenceInOurDataset"	"Gene.name"
"0.994914708320359"	"1.04126889590222"	"0.888166410872796"	"not in our MS dataset"	"Zglp1"
"1.21992179746606"	"0.925656121945977"	"0.675979052314386"	"not in our MS dataset"	"Oog3"
"0.580451752190864"	"0.617568498163221"	"0.680361624612911"	"Present in our MS dataset"	"Ldlrap1"
"0.818614186064668"	"1.14542142849867"	"1.31805070814127"	"not in our MS dataset"	"Mdn1"
"0.927745658658397"	"1.02473251976521"	"1.13966350243646"	"not in our MS dataset"	"Wfdc17"
"0.899241247233798"	"1.09316423125759"	"0.7954083232376"	"not in our MS dataset"	"9330171B17Rik"
"1.02678762145139"	"1.08715630429396"	"0.789181279511705"	"not in our MS dataset"	"Gm11335"
"0.858398232960856"	"1.09407527325674"	"0.713933438946466"	"not in our MS dataset"	"2610305J24Rik"
"0.971334022820526"	"0.966998280644615"	"0.983246527116954"	"not in our MS dataset"	"A930017K11Rik"
"0.892990620807221"	"0.845695750654438"	"0.863909982906181"	"not in our MS dataset"	"Gata5os"
"1.18454979351777"	"1.08432050447519"	"1.00580923689069"	"not in our MS dataset"	"Umad1"
"0.934088337474736"	"1.01739842346797"	"0.995236034024398"	"not in our MS dataset"	"Gm16982"
"0.922015965408321"	"0.680992389984649"	"0.886792856009145"	"not in our MS dataset"	"Gm9872"
"1.0280385329987"	"0.772164150754691"	"0.835815358359248"	"not in our MS dataset"	"Gm11149"
"0.913488285775078"	"1.03469908147693"	"0.695113548897779"	"not in our MS dataset"	"BC028777"
"1.04875281455471"	"1.00627255471218"	"1.20109972849773"	"not in our MS dataset"	"Gm13999"
"0.967767751215643"	"0.738166975022123"	"0.927056529393799"	"not in our MS dataset"	"Gm9744"
"0.852784328068918"	"0.837698112481834"	"0.549213353504109"	"not in our MS dataset"	"Gm11696"
"0.733690406114633"	"0.950932634801571"	"0.771431964775275"	"Present in our MS dataset"	"Dnajc3"
"1.0970372776942"	"0.923367445778372"	"0.984758628592483"	"not in our MS dataset"	"Gm12359"
"1.30134758740855"	"1.50662003329334"	"1.37327882945648"	"not in our MS dataset"	"Fam129c"
"0.983197110418381"	"0.810035469091348"	"1.04203861648301"	"not in our MS dataset"	"Rnaset2a"
"1.36921221769063"	"1.52995714256526"	"1.71878023459474"	"not in our MS dataset"	"Fam174b"
"1.05421393395573"	"0.851568865451347"	"0.888779454865511"	"not in our MS dataset"	"Gm10857"
"0.906266555396281"	"1.03623498768751"	"0.743636427757105"	"not in our MS dataset"	"Zfp389"
"0.823436944668754"	"0.957959732150454"	"1.24199555083987"	"not in our MS dataset"	"Gm10785"
"1.07743200450166"	"0.755991321422518"	"0.885942089150134"	"not in our MS dataset"	"Gm10512"
"0.771346053323263"	"1.22945811175794"	"0.760749522670736"	"not in our MS dataset"	"BC025933"
"0.916163456823253"	"0.993856310959139"	"0.971302835266539"	"not in our MS dataset"	"Gm10643"
"0.952809276117756"	"0.895077796951457"	"1.00589196737442"	"not in our MS dataset"	"E330027M22Rik"
"0.966494165580731"	"0.900588288511382"	"0.824147798358016"	"not in our MS dataset"	"Gm10461"
"1.02595732935041"	"0.978036277083514"	"0.784493649249209"	"not in our MS dataset"	"Apela"
"0.9310950667729"	"1.00195653730759"	"0.680620469503979"	"not in our MS dataset"	"G730007D18Rik"
"0.930775174332215"	"0.914196517555376"	"0.782890792755263"	"not in our MS dataset"	"Gm10523"
"0.903965249735718"	"1.37608360892546"	"1.01147898588143"	"not in our MS dataset"	"Gm10804"
"0.687784093213251"	"0.920801834603653"	"0.719519708166721"	"not in our MS dataset"	"Gm10658"
"0.984588090752501"	"0.897407158004157"	"1.1317392628973"	"not in our MS dataset"	"Gm11744"
"1.03564564282226"	"0.85179721932539"	"0.989515994104804"	"not in our MS dataset"	"Gm12863"
"0.808744492208282"	"0.740379928363144"	"0.597524775205578"	"not in our MS dataset"	"6820445E23Rik"
"0.85631797077306"	"0.775093301609087"	"0.969243829525198"	"not in our MS dataset"	"Gm10632"
"1.25422073768557"	"1.02170416583202"	"1.62669680433703"	"not in our MS dataset"	"Gm10710"
"0.838365080468127"	"0.908502801163051"	"0.839919355057218"	"not in our MS dataset"	"Gm11691"
"0.418837590031262"	"0.47290204961933"	"0.599832358826399"	"not in our MS dataset"	"Gm10791"
"0.951007700890063"	"1.20222751107717"	"0.792027339480284"	"not in our MS dataset"	"Gm10839"
"0.864469660215785"	"0.933760934169336"	"1.12974924983941"	"not in our MS dataset"	"Gm10776"
"0.861297304891154"	"1.16949176931111"	"1.09397077457325"	"not in our MS dataset"	"Gm10699"
"0.751656831478779"	"0.830975521351976"	"0.806534666565095"	"not in our MS dataset"	"D130062J21Rik"
"1.04099065241548"	"1.1308981272678"	"0.954942400883015"	"not in our MS dataset"	"9830004L10Rik"
"0.92571243013959"	"0.926258240192144"	"0.915926707801219"	"not in our MS dataset"	"Gm1971"
"0.924158237474048"	"0.862886684760586"	"0.971667653633729"	"not in our MS dataset"	"Gm10421"
"1.14351502602322"	"0.81301574354692"	"0.744197427977956"	"not in our MS dataset"	"Gm10796"
"1.1014212608591"	"1.00405885253229"	"0.946211854192092"	"not in our MS dataset"	"Gm10309"
"1.08115528647041"	"0.919478257451244"	"0.790310033435495"	"not in our MS dataset"	"Gm11681"
"0.982109333770334"	"1.00333598800166"	"0.892086767301228"	"not in our MS dataset"	"Gm13629"
"1.03374533124761"	"0.671745547600354"	"0.955443191098481"	"not in our MS dataset"	"Gm1976"
